terms,definition1,definition2
51% attack,"A hypothetical situation where more than half of the computing power on a blockchain network is controlled by one person or group, thus allowing them to dictate which transactions are verified. This would allow them to prevent other users from completing confirmed transactions and cause havoc within the system, and double-spend coins.",
51% attack protection,"A protection mechanism implemented by several cryptocurrencies that require more than 50% of their total hashing power working together as one entity (which would make it difficult for attackers since they'd need even more resources and time) or if this threshold is below 100%, having an additional safeguard feature where at least 66% must agree with every transaction before sending, making them unable to double-spend anything without others noticing until these changes are made on the chain permanently.",
AFK,Away From Keyboard; used on social media platforms like Twitter where users share their trading activity but only want to receive messages while they're logged into their account (and not away doing other things). AFKs usually trade for more extended periods of time than those who are active on their feeds.,
Airdrop,An event where a blockchain project distributes free tokens or coins to the community.,
Altcoin,Any cryptocurrency that is an alternative to Bitcoin.,
AML,"Anti-Money Laundering, a legal framework used by governments worldwide to stop financial crimes like money laundering, terrorist financing, fraud, and more.",
ATH,"All-Time High, the highest value reached by an asset at any point in its history.",
Bearish,"When investors or traders see a bearish trend, they expect a price to decrease and would recommend selling coins/tokens.",
Bear market,A market in which prices fall and negative sentiment is rife; this could lead to a drop-off in demand while buyers wait for lower prices.,
Bitcoin,The first decentralised cryptocurrency released in 2009.,The first and most popular cyptocurrency based on DLT technology developed from a whitepaper written by Satoshi Nakamoto in 2008.
Blockchain,"A type of decentralised public ledger which contains records/transactions and forms the basis for how many cryptocurrencies work, using cryptography to link together blocks in a chain so that each block is linked with the previous one chronologically, preventing any tampering or revisionist history from occurring since it would be recognised immediately by other users on the network.","A mathematical structure for storing digital transactions or data in an immutable, distributed, decentralized digital ledger consisting of blocks that are linked via cryptographic signature that is nearly impossible to fake, hack or disrupt."
Block height,"When discussing blockchain networks such as BitcoinBTC), this term refers to how many blocks make up their total height/length starting from block #0, also called its genesis block, which was mined during the first round of updates to this network.",
Block reward,"A type of monetary incentive provided by cryptocurrencies whenever an individual mines a block successfully. Coins/Tokens are not created out of thin air. Still, rather they must have gone through mining first before being awarded as such since it requires computational resources and electricity costs to mine them effectively. This is how miners make their profits, doing the work necessary in ensuring proper security measures are put in place so that these tokens cannot easily be hacked or stolen from them.",
Bollinger bands,A technical indicator used by traders to measure market volatility consisting of three lines plotted at standard deviation levels above and below a centre line.,
BTD,Buy The Dip; this means buying coins/tokens when the price drops and they're cheap.,
Bullish,"When investors are bullish, they expect a price to go up in the future and would be comfortable buying coins/tokens at these levels because they believe it will increase even more.",
Casper,"Ethereum's proof-of-stake protocol upgrade, designed to replace the proof-of-work as mentioned earlier and improve the scalability of the network while also enhancing security by making it less costly for an attacker to attack the network.",
Centralised,A system of power where a central authority has control over the execution of operations. Often associated with a dictatorial style of rule and a single point of attack.,
Coinless protocol,A decentralised network where all incentive mechanisms are built into the protocol itself and not as an additional layer on top of it (like Ethereum). The purpose is to create fully autonomous systems with no need for central management.,
Chaffing,"The practice of purposely sending false signals between nodes on a network using fake IP addresses so that they only see information that has already been seen by another node or set of nodes before, thus making consensus impossible for any new data being added onto the chain; this works against 51% attacks where attackers try to introduce invalid blocks into the chain since other miners will not recognise these blocks because they cannot make sense out of what they are seeing due to chaffing.",
Confirmation,"This is how many transactions have been processed/validated and added to its ledger so far since it began existing, either through mining or other means, including private ones off-chain. Confirmed transactions cannot be reversed without cooperation from others involved with keeping records on the network's shared ledger (see consensus). Cryptocurrencies need at least six confirmations before they can be considered finalised but more often than not, only take one depending on their protocol ruleset, such as BitcoinBTC).",
Crowdsale,"The process of selling crypto coins or tokens through crowdfunding, usually done before a new blockchain-based project launches its token/coin on the market so investors can take part in early bonuses and incentives.",
Cryptoart,"A product which has a piece of art embedded on the front, and private keys to an address holding a digital currency or other token. These typically hold less value than traditional cryptocurrencies since they don't have a price set by markets, but are considered collectables that can be bought as gifts for others.",
Cryptocurrency,A form of digital asset that uses cryptography as its main security measure to control the creation of additional units and verify transactions on its decentralised network.,"Digital money which uses encryption and consensus algorithms to regulate the generation of coins/tokens and transfer of funds. Cryptocurrencies are generally decentralized, operating independently of central authorities."
Crypto derivatives,"A financial instrument that derives its value from an underlying asset. They are usually contracts traded between two parties based on the price of a certain item, rate or index at some future date.",
Cryptoeconomics,"The combination of cryptography, information theory, computer science, and game theory creates secure economic systems that incentivise proof-of-work consensus models through mechanisms such as decentralised control, immutability, and trustless transactions.",
Cryptography,The use of cryptographic protocols or mathematical techniques to encrypt messages sent between parties which are then decrypted using a key for security purposes.,The science of securing communication using individualized codes so only the participating parties can read the messages.
Decentralised,"When something does not have any central control but rather operates independently through peer-to-peer networks and consensus algorithms instead, transactions cannot be reversed once confirmed on blockchains that do not have any central authority or place of residence since they are decentralised.",
Distribution,"The selling of coins, especially by whales who hold large amounts to stabilise prices and avoid crashing them.",
Distributed ledger,"A type of database that is spread out across several nodes in different locations and countries so that it can remain decentralised as well as transparent to those involved with keeping records on it; every single node will hold a complete copy which is updated regularly through consensus algorithms when new transactions take place. This also allows for faster processing speeds since multiple copies are already available rather than one central authority who has to distribute them from scratch if something does go wrong. It should not be confused with distributed computing, though both use similar techniques but ledgers record data while computations perform actions based on said data. Distributed ledger technology (DLT) is another term used for this concept.",
Digital gold,Different cryptocurrencies are sometimes compared to actual gold based on their storage and appreciation. Bitcoin is sometimes referred to as digital gold.,
Dumping,The process of offloading large quantities of coins onto exchanges all at once which drives down prices because there is more supply than demand for that particular cryptocurrency.,
DYOR,Do Your Own Research; this means that all crypto investors should do their own research on a project before investing in it.,
Entry and exit points,These are the points at which an investor decides to buy or sell a particular coin/token.,
